"id;title;artist;genre;mood;description"
"1;Happy;Pharrell Williams;Pop;ALEGRIA;Cancion alegre y optimista que encaja con textos positivos"
"2;Dont Stop Me Now;Queen;Rock;ALEGRIA;Cancion energica y positiva para un estado de animo alegre"
"3;Walking on Sunshine;Katrina and the Waves;Pop;ALEGRIA;Tema luminoso y animado para reforzar una emocion alegre"
"4;Fix You;Coldplay;Pop Rock;TRISTEZA;Cancion emocional y esperanzadora para textos tristes"
"5;Someone Like You;Adele;Pop;TRISTEZA;Cancion melancolica asociada a perdida y tristeza"
"6;The Night We Met;Lord Huron;Indie;TRISTEZA;Tema suave e introspectivo para un tono triste"
"7;Experience;Ludovico Einaudi;Instrumental;CALMA;Cancion instrumental tranquila e introspectiva"
"8;Weightless;Marconi Union;Ambient;CALMA;Tema relajante adecuado para textos calmados"
"9;River Flows in You;Yiruma;Piano;CALMA;Pieza de piano suave para un ambiente sereno"
"10;In the End;Linkin Park;Rock;TENSION;Cancion intensa para textos con conflicto o tension"
"11;Seven Nation Army;The White Stripes;Rock;TENSION;Tema potente y marcado para situaciones tensas"
"12;Believer;Imagine Dragons;Pop Rock;TENSION;Cancion intensa asociada a fuerza y presion"
"13;Yellow;Coldplay;Pop Rock;NEUTRO;Cancion suave de tono general y equilibrado"
"14;Viva La Vida;Coldplay;Pop Rock;NEUTRO;Tema accesible para textos sin emocion dominante clara"
"15;Here Comes The Sun;The Beatles;Pop Rock;NEUTRO;Cancion equilibrada y amable para un resultado neutro"
